DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

308. CAMARO CROP SRL | BRĂILA | CAEN:4661 | 0239615804
309. SERVAGROMEC SA | BRĂILA | CAEN:4661 | 0239611275
310. MIRCOM SRL | BRĂILA | CAEN:4661 | 0239610220
311. PRESINT COM SRL | BRĂILA | CAEN:4661 | 0239675146
312. VALROM EXIM S.R.L. | BRĂILA | CAEN:4661 | 0239685747
313. SERV CLASS SRL | BRĂILA | CAEN:4661 | 0239611096
314. SPRAYS IMPEX SRL | BRĂILA | CAEN:4661 | 0239672939
315. URSAGRI IMPEX SRL | BRĂILA | CAEN:4661 | 0239623388
316. AGROSAPE SRL | BRĂILA | CAEN:4661 | 
317. ROBINIA SRL | BRĂILA | CAEN:4661 | 0745258217
318. APAN AGRICULTURE EQUIPMENTS SRL | BRĂILA | CAEN:4661 | 0239613094
